Threshold,m,Number of Bets,Wins,Losses,Total Invested,Total Profit,ROI (%),Win Rate (%),Score (ROI * sqrt(Number of Bets))
0.6000000000000001,0.5999999999999999,327,235,92,4905.0,9902.1,201.8776758409786,71.86544342507645,3650.582541590638
0.6000000000000001,0.6499999999999999,109,85,24,1635.0,3876.2999999999997,237.0825688073394,77.98165137614679,2475.214686268499
0.6000000000000001,0.7,41,32,9,615.0,1440.6,234.24390243902437,78.04878048780488,1499.8928091781725
0.6000000000000001,0.7499999999999999,5,5,0,75.0,179.25,239.0,100.0,534.4202466224498
0.65,0.35,1935,1048,887,29025.0,39767.97933665317,137.01284870509275,54.160206718346245,6027.008177728048
0.65,0.39999999999999997,1889,1039,850,28335.0,39751.47933665317,140.29108641839832,55.00264690312334,6097.419247997514
0.65,0.44999999999999996,1724,996,728,25860.0,39110.52933665317,151.2394792600664,57.772621809744784,6279.626363864321
0.65,0.49999999999999994,1331,820,511,19965.0,32879.86080467968,164.68750716093004,61.60781367392938,6008.2733580295035
0.65,0.5499999999999999,742,509,233,11130.0,21011.946134596405,188.78657802871882,68.59838274932615,5142.485396818819
0.65,0.5999999999999999,312,224,88,4680.0,9707.85,207.4326923076923,71.7948717948718,3663.9918686402048
0.65,0.6499999999999999,106,82,24,1590.0,3818.5499999999997,240.16037735849056,77.35849056603774,2472.6024198028877
0.65,0.7,39,30,9,585.0,1403.85,239.97435897435895,76.92307692307693,1498.6393914618104
0.65,0.7499999999999999,5,5,0,75.0,179.25,239.0,100.0,534.4202466224498
0.7000000000000001,0.35,1802,977,825,27030.0,38391.57933665317,142.03321989142867,54.21753607103219,6029.30600202162
0.7000000000000001,0.39999999999999997,1765,969,796,26475.0,38302.32933665317,144.67357634241046,54.900849858356935,6078.012266839897
0.7000000000000001,0.44999999999999996,1615,931,684,24225.0,37729.62933665317,155.74666392839285,57.647058823529406,6259.000932224755
0.7000000000000001,0.49999999999999994,1255,769,486,18825.0,31734.460804679682,168.57615301290667,61.27490039840637,5971.975284829284
0.7000000000000001,0.5499999999999999,705,483,222,10575.0,20466.546134596403,193.53707928696363,68.51063829787233,5138.764807475095
0.7000000000000001,0.5999999999999999,300,216,84,4500.0,9565.35,212.56333333333336,72.0,3681.7049315953254
0.7000000000000001,0.6499999999999999,106,82,24,1590.0,3818.5499999999997,240.16037735849056,77.35849056603774,2472.6024198028877
0.7000000000000001,0.7,39,30,9,585.0,1403.85,239.97435897435895,76.92307692307693,1498.6393914618104
0.7000000000000001,0.7499999999999999,5,5,0,75.0,179.25,239.0,100.0,534.4202466224498
0.75,0.35,1685,907,778,25275.0,36698.37933665317,145.19635741504715,53.82789317507418,5960.129194750549
0.75,0.39999999999999997,1652,899,753,24780.0,36549.129336653175,147.49446867091677,54.41888619854721,5994.883602925791
0.75,0.44999999999999996,1513,868,645,22695.0,36225.42933665317,159.61854741860836,57.369464639788504,6208.730632655932
0.75,0.49999999999999994,1182,723,459,17730.0,30706.660804679683,173.19041627004896,61.16751269035533,5954.325803999234
0.75,0.5499999999999999,660,454,206,9900.0,19861.44613459641,200.62066802622635,68.78787878787878,5154.038281768089
0.75,0.5999999999999999,287,209,78,4305.0,9471.6,220.01393728223,72.82229965156795,3727.2724686758725
0.75,0.6499999999999999,102,81,21,1530.0,3840.2999999999997,250.99999999999997,79.41176470588235,2534.975739528881
0.75,0.7,38,30,8,570.0,1418.85,248.9210526315789,78.94736842105263,1534.4524224758825
0.75,0.7499999999999999,5,5,0,75.0,179.25,239.0,100.0,534.4202466224498
0.8,0.35,1555,837,718,23325.0,35169.81466656989,150.78162772377232,53.82636655948553,5945.845553644331
0.8,0.39999999999999997,1528,832,696,22920.0,35136.81466656989,153.3019837110379,54.45026178010471,5992.519442144657
0.8,0.44999999999999996,1403,807,596,21045.0,34974.36466656989,166.18847548857158,57.519600855310046,6224.862164534844
0.8,0.49999999999999994,1092,671,421,16380.0,29656.5961345964,181.05370045541147,61.44688644688645,5982.996168632307
0.8,0.5499999999999999,608,419,189,9120.0,19111.8961345964,209.5602646337325,68.91447368421053,5167.264919096259
0.8,0.5999999999999999,263,190,73,3945.0,9051.75,229.44866920152091,72.24334600760456,3721.032107220493
0.8,0.6499999999999999,93,73,20,1395.0,3662.1,262.51612903225805,78.49462365591397,2531.61386751486
0.8,0.7,36,28,8,540.0,1376.1,254.83333333333334,77.77777777777779,1529.0
0.8,0.7499999999999999,4,4,0,60.0,159.0,265.0,100.0,530.0
0.8500000000000001,0.35,1407,758,649,21105.0,33331.29475506547,157.9307972284552,53.87348969438521,5923.983993521092
0.8500000000000001,0.39999999999999997,1382,753,629,20730.0,33268.29475506547,160.48381454445476,54.48625180897251,5966.027626308918
0.8500000000000001,0.44999999999999996,1271,732,539,19065.0,33148.29475506547,173.86989118838432,57.59244689221086,6198.650606997044
0.8500000000000001,0.49999999999999994,991,613,378,14865.0,28346.526223091976,190.69307920008058,61.85671039354188,6003.0472096023805
0.8500000000000001,0.5499999999999999,561,384,177,8415.0,18189.276223091976,216.15301512884108,68.44919786096256,5119.678960398896
0.8500000000000001,0.5999999999999999,247,179,68,3705.0,8820.75,238.07692307692307,72.46963562753037,3741.672548679061
0.8500000000000001,0.6499999999999999,88,69,19,1320.0,3577.35,271.0113636363636,78.4090909090909,2542.3119421824767
0.8500000000000001,0.7,35,27,8,525.0,1352.1,257.54285714285714,77.14285714285715,1523.6440904245696
0.8500000000000001,0.7499999999999999,4,4,0,60.0,159.0,265.0,100.0,530.0
0.9,0.35,1294,712,582,19410.0,32527.144755065474,167.57931352429404,55.02318392581144,6028.198508653152
0.9,0.39999999999999997,1272,709,563,19080.0,32568.394755065474,170.69389284625512,55.73899371069182,6087.816294039368
0.9,0.44999999999999996,1171,690,481,17565.0,32428.144755065474,184.61796046151707,58.923996584116146,6317.603947822323
0.9,0.49999999999999994,920,582,338,13800.0,27846.126223091975,201.78352335573894,63.26086956521739,6120.397297073741
0.9,0.5499999999999999,527,366,161,7905.0,17828.82622309198,225.53859864758988,69.44971537001898,5177.5724568485875
0.9,0.5999999999999999,236,174,62,3540.0,8760.0,247.45762711864407,73.72881355932203,3801.516200640057
0.9,0.6499999999999999,86,68,18,1290.0,3566.1,276.44186046511624,79.06976744186046,2563.6163501385445
0.9,0.7,35,27,8,525.0,1352.1,257.54285714285714,77.14285714285715,1523.6440904245696
0.9,0.7499999999999999,4,4,0,60.0,159.0,265.0,100.0,530.0
