Name,Opponent,Win,Weight_Class,Title_Bout,Method,Round,Time,Time_format,Referee,Date,Location,Fighter_A_Totals_Fighter,Fighter_A_Totals_KD,Fighter_A_Totals_Sig_str,Fighter_A_Totals_Sig_str_Pct,Fighter_A_Totals_Total_str,Fighter_A_Totals_Td_Pct,Fighter_A_Totals_Sub_att,Fighter_A_Totals_Rev,Fighter_A_Totals_Ctrl,Fighter_A_Significant_Strikes_Fighter,Fighter_A_Significant_Strikes_Sig_str,Fighter_A_Significant_Strikes_Sig_str_Pct,Fighter_A_Significant_Strikes_Head,Fighter_A_Significant_Strikes_Body,Fighter_A_Significant_Strikes_Leg,Fighter_A_Significant_Strikes_Distance,Fighter_A_Significant_Strikes_Clinch,Fighter_A_Significant_Strikes_Ground,Fighter_B_Totals_Fighter,Fighter_B_Totals_KD,Fighter_B_Totals_Sig_str,Fighter_B_Totals_Sig_str_Pct,Fighter_B_Totals_Total_str,Fighter_B_Totals_Td_Pct,Fighter_B_Totals_Sub_att,Fighter_B_Totals_Rev,Fighter_B_Totals_Ctrl,Fighter_B_Significant_Strikes_Fighter,Fighter_B_Significant_Strikes_Sig_str,Fighter_B_Significant_Strikes_Sig_str_Pct,Fighter_B_Significant_Strikes_Head,Fighter_B_Significant_Strikes_Body,Fighter_B_Significant_Strikes_Leg,Fighter_B_Significant_Strikes_Distance,Fighter_B_Significant_Strikes_Clinch,Fighter_B_Significant_Strikes_Ground
Daniel Kelly,Derek Brunson,0,Middleweight,0,KO/TKO,1,1:16,3_Rnd_(5-5-5),John_Sharp,"Date:June 10, 2017","Location:Auckland, New Zealand",,,,,,,,,,,,,,,,,,,Daniel Kelly,0.0,1 of 4,25%,1 of 4,---,0.0,0.0,0:00,Daniel Kelly,1 of 4,25%,0 of 3,0 of 0,1 of 1,1 of 4,0 of 0,0 of 0
Dan Hooker,Ross Pearson,1,Lightweight,0,KO/TKO,2,3:02,3_Rnd_(5-5-5),Neil_Swailes,"Date:June 10, 2017","Location:Auckland, New Zealand",Dan Hooker,0.0,32 of 65,49%,37 of 70,0%,0.0,0.0,0:00,Dan Hooker,32 of 65,49%,13 of 45,4 of 4,15 of 16,32 of 65,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Ross Pearson,Dan Hooker,0,Lightweight,0,KO/TKO,2,3:02,3_Rnd_(5-5-5),Neil_Swailes,"Date:June 10, 2017","Location:Auckland, New Zealand",,,,,,,,,,,,,,,,,,,Ross Pearson,0.0,20 of 47,42%,20 of 47,---,0.0,0.0,0:02,Ross Pearson,20 of 47,42%,8 of 29,6 of 11,6 of 7,18 of 45,2 of 2,0 of 0
Ion Cutelaba,Henrique da Silva,1,Light Heavyweight,0,KO/TKO,1,0:22,3_Rnd_(5-5-5),Mark_Craig,"Date:June 10, 2017","Location:Auckland, New Zealand",Ion Cutelaba,1.0,15 of 18,83%,15 of 18,---,0.0,0.0,0:09,Ion Cutelaba,15 of 18,83%,15 of 18,0 of 0,0 of 0,4 of 6,0 of 0,11 of 12,,,,,,,,,,,,,,,,,,
Henrique da Silva,Ion Cutelaba,0,Light Heavyweight,0,KO/TKO,1,0:22,3_Rnd_(5-5-5),Mark_Craig,"Date:June 10, 2017","Location:Auckland, New Zealand",,,,,,,,,,,,,,,,,,,Henrique da Silva,0.0,1 of 2,50%,1 of 2,---,0.0,0.0,0:00,Henrique da Silva,1 of 2,50%,1 of 2,0 of 0,0 of 0,1 of 2,0 of 0,0 of 0
Tim Elliott,Ben Nguyen,0,Flyweight,0,Submission,1,0:49,3_Rnd_(5-5-5),Marc_Goddard,"Date:June 10, 2017","Location:Auckland, New Zealand",Tim Elliott,0.0,1 of 4,25%,1 of 4,0%,0.0,0.0,0:00,Tim Elliott,1 of 4,25%,0 of 2,0 of 0,1 of 2,1 of 4,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Ben Nguyen,Tim Elliott,1,Flyweight,0,Submission,1,0:49,3_Rnd_(5-5-5),Marc_Goddard,"Date:June 10, 2017","Location:Auckland, New Zealand",,,,,,,,,,,,,,,,,,,Ben Nguyen,0.0,3 of 7,42%,8 of 12,100%,1.0,0.0,0:31,Ben Nguyen,3 of 7,42%,3 of 7,0 of 0,0 of 0,2 of 6,1 of 1,0 of 0
Alexander Volkanovski,Mizuto Hirota,1,Featherweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),John_Sharp,"Date:June 10, 2017","Location:Auckland, New Zealand",Alexander Volkanovski,1.0,33 of 56,58%,35 of 58,75%,0.0,0.0,2:23,Alexander Volkanovski,33 of 56,58%,23 of 42,2 of 4,8 of 10,10 of 29,5 of 6,18 of 21,,,,,,,,,,,,,,,,,,
Mizuto Hirota,Alexander Volkanovski,0,Featherweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),John_Sharp,"Date:June 10, 2017","Location:Auckland, New Zealand",,,,,,,,,,,,,,,,,,,Mizuto Hirota,0.0,16 of 41,39%,19 of 44,---,0.0,0.0,0:00,Mizuto Hirota,16 of 41,39%,12 of 37,1 of 1,3 of 3,13 of 35,1 of 4,2 of 2
Damien Brown,Vinc Pichel,0,Lightweight,0,KO/TKO,1,3:37,3_Rnd_(5-5-5),Mark_Craig,"Date:June 10, 2017","Location:Auckland, New Zealand",Damien Brown,0.0,21 of 56,37%,21 of 56,---,0.0,0.0,0:00,Damien Brown,21 of 56,37%,16 of 51,1 of 1,4 of 4,18 of 53,3 of 3,0 of 0,,,,,,,,,,,,,,,,,,
Vinc Pichel,Damien Brown,1,Lightweight,0,KO/TKO,1,3:37,3_Rnd_(5-5-5),Mark_Craig,"Date:June 10, 2017","Location:Auckland, New Zealand",,,,,,,,,,,,,,,,,,,Vinc Pichel,1.0,19 of 38,50%,19 of 38,---,0.0,0.0,0:02,Vinc Pichel,19 of 38,50%,13 of 29,4 of 4,2 of 5,14 of 31,2 of 2,3 of 5
Luke Jumeau,Dominique Steele,1,Welterweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Neil_Swailes,"Date:June 10, 2017","Location:Auckland, New Zealand",Luke Jumeau,0.0,7 of 24,29%,14 of 32,---,0.0,0.0,0:00,Luke Jumeau,7 of 24,29%,3 of 18,2 of 3,2 of 3,6 of 22,1 of 2,0 of 0,,,,,,,,,,,,,,,,,,
Dominique Steele,Luke Jumeau,0,Welterweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Neil_Swailes,"Date:June 10, 2017","Location:Auckland, New Zealand",,,,,,,,,,,,,,,,,,,Dominique Steele,0.0,19 of 38,50%,23 of 43,100%,0.0,0.0,1:22,Dominique Steele,19 of 38,50%,13 of 28,5 of 8,1 of 2,9 of 27,1 of 1,9 of 10
John Moraga,Ashkan Mokhtarian,1,Flyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Marc_Goddard,"Date:June 10, 2017","Location:Auckland, New Zealand",John Moraga,0.0,17 of 26,65%,18 of 28,---,2.0,0.0,1:43,John Moraga,17 of 26,65%,10 of 17,5 of 7,2 of 2,6 of 11,4 of 6,7 of 9,,,,,,,,,,,,,,,,,,
Ashkan Mokhtarian,John Moraga,0,Flyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Marc_Goddard,"Date:June 10, 2017","Location:Auckland, New Zealand",,,,,,,,,,,,,,,,,,,Ashkan Mokhtarian,0.0,0 of 4,0%,0 of 4,50%,0.0,0.0,1:49,Ashkan Mokhtarian,0 of 4,0%,0 of 4,0 of 0,0 of 0,0 of 4,0 of 0,0 of 0
Kiichi Kunimoto,Zak Ottow,0,Welterweight,0,Decision - Split,3,5:00,3_Rnd_(5-5-5),John_Sharp,"Date:June 10, 2017","Location:Auckland, New Zealand",Kiichi Kunimoto,0.0,14 of 24,58%,16 of 26,0%,0.0,0.0,1:14,Kiichi Kunimoto,14 of 24,58%,4 of 10,1 of 1,9 of 13,11 of 21,3 of 3,0 of 0,,,,,,,,,,,,,,,,,,
Zak Ottow,Kiichi Kunimoto,1,Welterweight,0,Decision - Split,3,5:00,3_Rnd_(5-5-5),John_Sharp,"Date:June 10, 2017","Location:Auckland, New Zealand",,,,,,,,,,,,,,,,,,,Zak Ottow,0.0,22 of 46,47%,39 of 64,100%,0.0,0.0,0:07,Zak Ottow,22 of 46,47%,12 of 31,4 of 9,6 of 6,21 of 45,1 of 1,0 of 0
JJ Aldrich,Chan-Mi Jeon,1,Women's Strawweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Neil_Swailes,"Date:June 10, 2017","Location:Auckland, New Zealand",JJ Aldrich,0.0,33 of 62,53%,33 of 62,---,0.0,0.0,0:00,JJ Aldrich,33 of 62,53%,26 of 52,1 of 3,6 of 7,27 of 55,6 of 7,0 of 0,,,,,,,,,,,,,,,,,,
Chan-Mi Jeon,JJ Aldrich,0,Women's Strawweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Neil_Swailes,"Date:June 10, 2017","Location:Auckland, New Zealand",,,,,,,,,,,,,,,,,,,Chan-Mi Jeon,0.0,32 of 67,47%,33 of 69,---,0.0,0.0,0:02,Chan-Mi Jeon,32 of 67,47%,20 of 47,6 of 12,6 of 8,28 of 62,2 of 3,2 of 2
Jose Aldo,Max Holloway,0,Featherweight,1,KO/TKO,3,4:13,5_Rnd_(5-5-5-5-5),John_McCarthy,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",Jose Aldo,0.0,19 of 35,54%,19 of 35,---,0.0,0.0,0:00,Jose Aldo,19 of 35,54%,13 of 27,5 of 7,1 of 1,18 of 34,1 of 1,0 of 0,,,,,,,,,,,,,,,,,,
Max Holloway,Jose Aldo,1,Featherweight,1,KO/TKO,3,4:13,5_Rnd_(5-5-5-5-5),John_McCarthy,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,,,,,,,,,,,,,,Max Holloway,0.0,12 of 32,37%,12 of 32,---,0.0,0.0,0:00,Max Holloway,12 of 32,37%,7 of 25,5 of 7,0 of 0,12 of 31,0 of 1,0 of 0
Claudia Gadelha,Karolina Kowalkiewicz,1,Women's Strawweight,0,Submission,1,3:03,3_Rnd_(5-5-5),Mario_Yamasaki,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",Claudia Gadelha,0.0,8 of 28,28%,8 of 28,50%,1.0,0.0,0:46,Claudia Gadelha,8 of 28,28%,6 of 24,2 of 3,0 of 1,6 of 26,2 of 2,0 of 0,,,,,,,,,,,,,,,,,,
Karolina Kowalkiewicz,Claudia Gadelha,0,Women's Strawweight,0,Submission,1,3:03,3_Rnd_(5-5-5),Mario_Yamasaki,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,,,,,,,,,,,,,,Karolina Kowalkiewicz,0.0,9 of 37,24%,12 of 40,---,0.0,0.0,0:00,Karolina Kowalkiewicz,9 of 37,24%,6 of 33,0 of 1,3 of 3,9 of 36,0 of 1,0 of 0
Vitor Belfort,Nate Marquardt,1,Middleweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Osiris_Maia,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",Vitor Belfort,0.0,3 of 10,30%,3 of 11,---,0.0,0.0,0:00,Vitor Belfort,3 of 10,30%,3 of 9,0 of 1,0 of 0,2 of 9,0 of 0,1 of 1,,,,,,,,,,,,,,,,,,
Nate Marquardt,Vitor Belfort,0,Middleweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Osiris_Maia,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,,,,,,,,,,,,,,Nate Marquardt,0.0,11 of 23,47%,21 of 33,100%,0.0,0.0,1:03,Nate Marquardt,11 of 23,47%,1 of 13,3 of 3,7 of 7,10 of 22,1 of 1,0 of 0
Paulo Costa,Oluwale Bamgbose,1,Middleweight,0,KO/TKO,2,1:06,3_Rnd_(5-5-5),John_McCarthy,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",Paulo Costa,0.0,29 of 53,54%,36 of 61,0%,0.0,0.0,0:02,Paulo Costa,29 of 53,54%,10 of 30,18 of 22,1 of 1,14 of 30,15 of 23,0 of 0,,,,,,,,,,,,,,,,,,
Oluwale Bamgbose,Paulo Costa,0,Middleweight,0,KO/TKO,2,1:06,3_Rnd_(5-5-5),John_McCarthy,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,,,,,,,,,,,,,,Oluwale Bamgbose,0.0,24 of 47,51%,31 of 54,40%,0.0,0.0,1:22,Oluwale Bamgbose,24 of 47,51%,8 of 24,11 of 18,5 of 5,15 of 37,9 of 10,0 of 0
Erick Silva,Yancy Medeiros,0,Welterweight,0,KO/TKO,2,2:01,3_Rnd_(5-5-5),Eduardo_Herdy,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",Erick Silva,0.0,15 of 28,53%,15 of 28,0%,0.0,0.0,0:00,Erick Silva,15 of 28,53%,6 of 16,5 of 8,4 of 4,14 of 27,1 of 1,0 of 0,,,,,,,,,,,,,,,,,,
Yancy Medeiros,Erick Silva,1,Welterweight,0,KO/TKO,2,2:01,3_Rnd_(5-5-5),Eduardo_Herdy,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,,,,,,,,,,,,,,Yancy Medeiros,0.0,18 of 59,30%,19 of 61,---,0.0,0.0,0:06,Yancy Medeiros,18 of 59,30%,12 of 49,5 of 8,1 of 2,17 of 55,1 of 4,0 of 0
Raphael Assuncao,Marlon Moraes,1,Bantamweight,0,Decision - Split,3,5:00,3_Rnd_(5-5-5),Osiris_Maia,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",Raphael Assuncao,0.0,13 of 44,29%,13 of 44,0%,0.0,0.0,0:00,Raphael Assuncao,13 of 44,29%,10 of 36,0 of 2,3 of 6,13 of 43,0 of 1,0 of 0,,,,,,,,,,,,,,,,,,
Marlon Moraes,Raphael Assuncao,0,Bantamweight,0,Decision - Split,3,5:00,3_Rnd_(5-5-5),Osiris_Maia,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,,,,,,,,,,,,,,Marlon Moraes,0.0,14 of 50,28%,14 of 50,---,0.0,0.0,0:00,Marlon Moraes,14 of 50,28%,4 of 38,6 of 7,4 of 5,14 of 49,0 of 1,0 of 0
Antonio Carlos Junior,Eric Spicely,1,Middleweight,0,Submission,2,3:49,3_Rnd_(5-5-5),John_McCarthy,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",Antonio Carlos Junior,0.0,10 of 17,58%,28 of 38,100%,1.0,0.0,1:22,Antonio Carlos Junior,10 of 17,58%,8 of 14,1 of 2,1 of 1,1 of 3,0 of 1,9 of 13,,,,,,,,,,,,,,,,,,
Eric Spicely,Antonio Carlos Junior,0,Middleweight,0,Submission,2,3:49,3_Rnd_(5-5-5),John_McCarthy,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,,,,,,,,,,,,,,Eric Spicely,0.0,12 of 17,70%,22 of 28,100%,0.0,0.0,0:35,Eric Spicely,12 of 17,70%,12 of 17,0 of 0,0 of 0,0 of 2,0 of 0,12 of 15
Johnny Eduardo,Matthew Lopez,0,Bantamweight,0,KO/TKO,1,2:57,3_Rnd_(5-5-5),Mario_Yamasaki,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",Johnny Eduardo,0.0,16 of 30,53%,16 of 30,---,1.0,0.0,0:00,Johnny Eduardo,16 of 30,53%,11 of 23,0 of 1,5 of 6,16 of 30,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Matthew Lopez,Johnny Eduardo,1,Bantamweight,0,KO/TKO,1,2:57,3_Rnd_(5-5-5),Mario_Yamasaki,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,,,,,,,,,,,,,,Matthew Lopez,0.0,43 of 57,75%,59 of 73,100%,0.0,0.0,1:16,Matthew Lopez,43 of 57,75%,43 of 57,0 of 0,0 of 0,4 of 12,0 of 0,39 of 45
Iuri Alcantara,Brian Kelleher,0,Bantamweight,0,Submission,1,1:48,3_Rnd_(5-5-5),Eduardo_Herdy,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",Iuri Alcantara,0.0,12 of 28,42%,12 of 29,100%,0.0,0.0,0:08,Iuri Alcantara,12 of 28,42%,8 of 21,4 of 6,0 of 1,10 of 26,2 of 2,0 of 0,,,,,,,,,,,,,,,,,,
Brian Kelleher,Iuri Alcantara,1,Bantamweight,0,Submission,1,1:48,3_Rnd_(5-5-5),Eduardo_Herdy,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,,,,,,,,,,,,,,Brian Kelleher,0.0,4 of 15,26%,4 of 15,---,1.0,0.0,0:00,Brian Kelleher,4 of 15,26%,1 of 8,2 of 4,1 of 3,4 of 14,0 of 1,0 of 0
Viviane Pereira,Jamie Moyle,1,Women's Strawweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Mario_Yamasaki,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",Viviane Pereira,0.0,17 of 55,30%,25 of 65,---,0.0,0.0,1:11,Viviane Pereira,17 of 55,30%,16 of 50,0 of 4,1 of 1,14 of 49,3 of 6,0 of 0,,,,,,,,,,,,,,,,,,
Jamie Moyle,Viviane Pereira,0,Women's Strawweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Mario_Yamasaki,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,,,,,,,,,,,,,,Jamie Moyle,0.0,33 of 45,73%,37 of 49,---,0.0,0.0,0:03,Jamie Moyle,33 of 45,73%,10 of 20,16 of 17,7 of 8,23 of 35,10 of 10,0 of 0
Luan Chagas,Jim Wallhead,1,Welterweight,0,Submission,2,4:48,3_Rnd_(5-5-5),Eduardo_Herdy,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",Luan Chagas,0.0,42 of 71,59%,42 of 71,0%,0.0,0.0,0:02,Luan Chagas,42 of 71,59%,32 of 58,1 of 4,9 of 9,39 of 67,3 of 4,0 of 0,,,,,,,,,,,,,,,,,,
Jim Wallhead,Luan Chagas,0,Welterweight,0,Submission,2,4:48,3_Rnd_(5-5-5),Eduardo_Herdy,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,,,,,,,,,,,,,,Jim Wallhead,0.0,16 of 74,21%,16 of 74,0%,0.0,0.0,0:00,Jim Wallhead,16 of 74,21%,12 of 67,3 of 6,1 of 1,16 of 74,0 of 0,0 of 0
Marco Beltran,Deiveson Figueiredo,0,Flyweight,0,KO/TKO,2,5:00,3_Rnd_(5-5-5),Osiris_Maia,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",Marco Beltran,0.0,6 of 12,50%,8 of 14,---,0.0,0.0,1:54,Marco Beltran,6 of 12,50%,5 of 11,0 of 0,1 of 1,1 of 6,0 of 0,5 of 6,,,,,,,,,,,,,,,,,,
Deiveson Figueiredo,Marco Beltran,1,Flyweight,0,KO/TKO,2,5:00,3_Rnd_(5-5-5),Osiris_Maia,"Date:June 03, 2017","Location:Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,,,,,,,,,,,,,,Deiveson Figueiredo,0.0,4 of 6,66%,4 of 6,50%,2.0,0.0,1:51,Deiveson Figueiredo,4 of 6,66%,1 of 3,2 of 2,1 of 1,2 of 3,1 of 1,1 of 2
Alexander Gustafsson,Glover Teixeira,1,Light Heavyweight,0,KO/TKO,5,1:07,5_Rnd_(5-5-5-5-5),Marc_Goddard,"Date:May 28, 2017","Location:Stockholm, Sweden",Alexander Gustafsson,0.0,14 of 42,33%,14 of 42,---,0.0,0.0,0:00,Alexander Gustafsson,14 of 42,33%,11 of 36,0 of 3,3 of 3,14 of 42,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Glover Teixeira,Alexander Gustafsson,0,Light Heavyweight,0,KO/TKO,5,1:07,5_Rnd_(5-5-5-5-5),Marc_Goddard,"Date:May 28, 2017","Location:Stockholm, Sweden",,,,,,,,,,,,,,,,,,,Glover Teixeira,0.0,5 of 25,20%,5 of 25,33%,0.0,0.0,0:09,Glover Teixeira,5 of 25,20%,5 of 25,0 of 0,0 of 0,4 of 20,1 of 5,0 of 0
Volkan Oezdemir,Misha Cirkunov,1,Light Heavyweight,0,KO/TKO,1,0:28,3_Rnd_(5-5-5),Kevin_Sataki,"Date:May 28, 2017","Location:Stockholm, Sweden",Volkan Oezdemir,1.0,5 of 7,71%,5 of 7,---,0.0,0.0,0:02,Volkan Oezdemir,5 of 7,71%,5 of 7,0 of 0,0 of 0,3 of 5,0 of 0,2 of 2,,,,,,,,,,,,,,,,,,
Misha Cirkunov,Volkan Oezdemir,0,Light Heavyweight,0,KO/TKO,1,0:28,3_Rnd_(5-5-5),Kevin_Sataki,"Date:May 28, 2017","Location:Stockholm, Sweden",,,,,,,,,,,,,,,,,,,Misha Cirkunov,0.0,9 of 19,47%,9 of 19,---,0.0,0.0,0:00,Misha Cirkunov,9 of 19,47%,7 of 16,2 of 3,0 of 0,9 of 19,0 of 0,0 of 0
Peter Sobotta,Ben Saunders,1,Welterweight,0,KO/TKO,2,2:29,3_Rnd_(5-5-5),Neil_Hall,"Date:May 28, 2017","Location:Stockholm, Sweden",Peter Sobotta,2.0,27 of 61,44%,31 of 66,---,0.0,0.0,1:02,Peter Sobotta,27 of 61,44%,23 of 56,0 of 1,4 of 4,17 of 44,1 of 2,9 of 15,,,,,,,,,,,,,,,,,,
Ben Saunders,Peter Sobotta,0,Welterweight,0,KO/TKO,2,2:29,3_Rnd_(5-5-5),Neil_Hall,"Date:May 28, 2017","Location:Stockholm, Sweden",,,,,,,,,,,,,,,,,,,Ben Saunders,0.0,14 of 43,32%,18 of 49,---,0.0,0.0,0:00,Ben Saunders,14 of 43,32%,6 of 25,5 of 13,3 of 5,9 of 37,0 of 1,5 of 5
Abdul Razak Alhassan,Omari Akhmedov,0,Welterweight,0,Decision - Split,3,5:00,3_Rnd_(5-5-5),Bobby_Rehman,"Date:May 28, 2017","Location:Stockholm, Sweden",Abdul Razak Alhassan,0.0,9 of 31,29%,9 of 32,---,0.0,0.0,0:00,Abdul Razak Alhassan,9 of 31,29%,5 of 24,2 of 3,2 of 4,8 of 29,1 of 2,0 of 0,,,,,,,,,,,,,,,,,,
Omari Akhmedov,Abdul Razak Alhassan,1,Welterweight,0,Decision - Split,3,5:00,3_Rnd_(5-5-5),Bobby_Rehman,"Date:May 28, 2017","Location:Stockholm, Sweden",,,,,,,,,,,,,,,,,,,Omari Akhmedov,0.0,13 of 54,24%,17 of 58,50%,0.0,0.0,1:02,Omari Akhmedov,13 of 54,24%,11 of 50,0 of 2,2 of 2,11 of 49,1 of 3,1 of 2
Oliver Enkamp,Nordine Taleb,0,Welterweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Marc_Goddard,"Date:May 28, 2017","Location:Stockholm, Sweden",Oliver Enkamp,0.0,10 of 36,27%,12 of 38,50%,0.0,0.0,0:46,Oliver Enkamp,10 of 36,27%,2 of 23,7 of 12,1 of 1,1 of 25,9 of 11,0 of 0,,,,,,,,,,,,,,,,,,
Nordine Taleb,Oliver Enkamp,1,Welterweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Marc_Goddard,"Date:May 28, 2017","Location:Stockholm, Sweden",,,,,,,,,,,,,,,,,,,Nordine Taleb,0.0,17 of 29,58%,20 of 32,100%,0.0,0.0,0:53,Nordine Taleb,17 of 29,58%,8 of 18,4 of 4,5 of 7,12 of 24,4 of 4,1 of 1
Jack Hermansson,Alex Nicholson,1,Middleweight,0,KO/TKO,1,2:00,3_Rnd_(5-5-5),Bobby_Rehman,"Date:May 28, 2017","Location:Stockholm, Sweden",Jack Hermansson,0.0,23 of 29,79%,39 of 47,100%,0.0,0.0,1:39,Jack Hermansson,23 of 29,79%,23 of 29,0 of 0,0 of 0,1 of 2,0 of 0,22 of 27,,,,,,,,,,,,,,,,,,
Alex Nicholson,Jack Hermansson,0,Middleweight,0,KO/TKO,1,2:00,3_Rnd_(5-5-5),Bobby_Rehman,"Date:May 28, 2017","Location:Stockholm, Sweden",,,,,,,,,,,,,,,,,,,Alex Nicholson,0.0,1 of 4,25%,3 of 6,---,1.0,0.0,0:00,Alex Nicholson,1 of 4,25%,0 of 2,1 of 2,0 of 0,1 of 4,0 of 0,0 of 0
Pedro Munhoz,Damian Stasiak,1,Bantamweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Neil_Hall,"Date:May 28, 2017","Location:Stockholm, Sweden",Pedro Munhoz,0.0,22 of 54,40%,22 of 54,0%,1.0,0.0,0:01,Pedro Munhoz,22 of 54,40%,10 of 29,6 of 14,6 of 11,18 of 47,4 of 7,0 of 0,,,,,,,,,,,,,,,,,,
Damian Stasiak,Pedro Munhoz,0,Bantamweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Neil_Hall,"Date:May 28, 2017","Location:Stockholm, Sweden",,,,,,,,,,,,,,,,,,,Damian Stasiak,0.0,13 of 45,28%,13 of 45,100%,0.0,0.0,0:13,Damian Stasiak,13 of 45,28%,9 of 37,3 of 7,1 of 1,12 of 44,1 of 1,0 of 0
Trevor Smith,Chris Camozzi,1,Middleweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Kevin_Sataki,"Date:May 28, 2017","Location:Stockholm, Sweden",Trevor Smith,0.0,10 of 19,52%,20 of 30,100%,0.0,0.0,4:21,Trevor Smith,10 of 19,52%,7 of 13,1 of 1,2 of 5,2 of 2,2 of 6,6 of 11,,,,,,,,,,,,,,,,,,
Chris Camozzi,Trevor Smith,0,Middleweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Kevin_Sataki,"Date:May 28, 2017","Location:Stockholm, Sweden",,,,,,,,,,,,,,,,,,,Chris Camozzi,0.0,4 of 6,66%,11 of 13,---,1.0,0.0,0:00,Chris Camozzi,4 of 6,66%,1 of 2,3 of 4,0 of 0,0 of 1,4 of 5,0 of 0
Reza Madadi,Joaquim Silva,0,Lightweight,0,Decision - Split,3,5:00,3_Rnd_(5-5-5),Marc_Goddard,"Date:May 28, 2017","Location:Stockholm, Sweden",Reza Madadi,0.0,5 of 11,45%,43 of 50,66%,0.0,0.0,3:18,Reza Madadi,5 of 11,45%,3 of 9,2 of 2,0 of 0,3 of 7,1 of 1,1 of 3,,,,,,,,,,,,,,,,,,
Joaquim Silva,Reza Madadi,1,Lightweight,0,Decision - Split,3,5:00,3_Rnd_(5-5-5),Marc_Goddard,"Date:May 28, 2017","Location:Stockholm, Sweden",,,,,,,,,,,,,,,,,,,Joaquim Silva,0.0,6 of 22,27%,11 of 32,---,0.0,0.0,0:00,Joaquim Silva,6 of 22,27%,6 of 22,0 of 0,0 of 0,2 of 18,0 of 0,4 of 4
Nicholas Musoke,Bojan Velickovic,0,Welterweight,0,KO/TKO,3,4:37,3_Rnd_(5-5-5),Kevin_Sataki,"Date:May 28, 2017","Location:Stockholm, Sweden",Nicholas Musoke,0.0,11 of 36,30%,19 of 45,33%,0.0,0.0,1:51,Nicholas Musoke,11 of 36,30%,9 of 34,2 of 2,0 of 0,8 of 32,0 of 0,3 of 4,,,,,,,,,,,,,,,,,,
